,User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web,Credit Card Category
1116,371,2,Visa,Debit,4831547258942108,11/2021,45,NO,1,$2508,08/2005,2012,No,Classic
1117,371,3,Visa,Credit,4030101439693866,12/2022,924,NO,2,$2600,11/2013,2013,No,Signature
1118,372,0,Mastercard,Debit,5598838646522278,05/2022,590,YES,1,$4851,04/2005,2020,No,Mixed
1119,373,0,Mastercard,Credit,5688444191664896,06/2023,723,YES,1,$7300,05/2010,2011,No,UNKNOWN
1120,373,1,Mastercard,Debit,5787876223130828,03/2024,137,YES,1,$18540,07/2009,2009,No,UNKNOWN
1121,373,2,Mastercard,Debit,5145746225869385,02/2014,37,NO,2,$4072,07/2010,2010,No,Enhanced
1122,373,3,Mastercard,Debit,5867870962214065,02/2020,278,YES,1,$1744,02/2020,2020,No,UNKNOWN
1123,373,4,Mastercard,Debit (Prepaid),5233021736945266,01/2014,561,YES,2,$33,07/2009,2013,No,Mixed Product
1124,374,0,Mastercard,Debit,5905144281673763,02/2020,324,YES,1,$17767,03/2014,2014,No,Standard
1125,374,1,Mastercard,Debit (Prepaid),5376202172646612,11/2022,419,YES,1,$57,09/2013,2013,No,Gold
1126,374,2,Visa,Debit,4078070579143813,05/2022,725,YES,1,$23011,08/2010,2010,No,Classic
1127,374,3,Mastercard,Debit,5320540849135700,10/2023,66,YES,1,$21160,02/2009,2009,No,Prepaid Meal
1128,374,4,Mastercard,Debit,5318581534984744,12/2021,914,NO,2,$21291,01/2020,2020,No,World
1129,375,0,Visa,Credit,4905977959597106,10/2020,543,YES,1,$19100,04/2018,2018,No,Atm Card
1130,376,0,Mastercard,Debit,5285784915006143,03/2020,790,YES,2,$7834,05/1996,2012,No,Prepaid
1131,377,0,Visa,Debit,4563146572171391,12/2020,510,YES,2,$38317,04/2014,2014,No,Gold
1132,377,1,Visa,Debit,4817273521248161,10/2023,706,YES,2,$55693,01/2000,2006,No,UNKNOWN
1133,377,2,Visa,Debit,4423423702094848,11/2020,362,YES,1,$40710,09/2010,2010,No,UNKNOWN
1134,377,3,Mastercard,Debit,5614281662886512,12/2024,906,YES,2,$61355,04/2015,2015,No,UNKNOWN
1135,378,0,Mastercard,Credit,5723992473008285,02/2020,298,YES,1,$5300,01/2020,2020,No,UNKNOWN
1136,378,1,Mastercard,Credit,5568613598314709,06/2022,926,YES,1,$15800,01/2020,2020,No,Government Commercial
1137,379,0,Mastercard,Debit,5809559236815243,01/2020,643,YES,1,$26219,01/2020,2020,No,UNKNOWN
1138,379,1,Discover,Credit,6649382937549507,02/2020,898,YES,1,$20400,02/2020,2020,No,UNKNOWN
1139,380,0,Mastercard,Debit,5578581367019951,03/2020,532,YES,1,$28066,02/2020,2020,No,Mixed Product
1140,380,1,Visa,Credit,4995777639723026,06/2024,153,NO,2,$19500,01/2020,2020,No,UNKNOWN
1141,380,2,Mastercard,Credit,5618927130201354,04/2020,47,YES,1,$15100,01/2020,2020,No,UNKNOWN
1142,381,0,Mastercard,Debit,5504388217788243,09/2022,389,YES,1,$9059,12/2003,2008,No,UNKNOWN
1143,381,1,Mastercard,Credit,5765192294312489,03/2024,244,YES,2,$6300,06/2014,2014,No,UNKNOWN
1144,381,2,Mastercard,Debit,5049590350537184,12/2017,287,YES,1,$12793,09/2017,2017,No,Sears
1145,381,3,Mastercard,Credit,5171047603573611,05/2020,472,YES,1,$7800,02/2020,2020,No,Standard
1146,382,0,Visa,Credit,4304336989685853,10/2022,38,YES,1,$14000,02/2011,2011,No,Gold
1147,383,0,Mastercard,Debit (Prepaid),5802808293999580,02/2023,374,NO,1,$80,02/2020,2020,No,UNKNOWN
1148,383,1,Mastercard,Credit,5182039113510183,12/2024,533,YES,1,$15400,01/2020,2020,No,Enhanced
1149,384,0,Mastercard,Debit,5178588521108553,04/2021,647,YES,2,$28747,04/2010,2010,No,Standard
1150,384,1,Mastercard,Debit (Prepaid),5419683819223054,07/2021,690,YES,2,$110,05/2011,2011,No,UNKNOWN
1151,385,0,Mastercard,Debit (Prepaid),5207548471157063,04/2022,310,YES,2,$112,10/2008,2012,No,UNKNOWN
1152,385,1,Discover,Credit,6133343341617022,12/2010,252,NO,2,$9700,06/2009,2011,No,UNKNOWN
1153,385,2,Visa,Credit,4013077897978419,10/2013,359,YES,1,$8600,11/2009,2014,No,Classic
1154,385,3,Mastercard,Debit (Prepaid),5582481832840083,10/2004,949,YES,2,$43,02/2001,2012,No,Business
1155,385,4,Mastercard,Debit,5160679758487908,04/2015,716,YES,2,$19629,12/2010,2011,No,Standard
1156,385,5,Mastercard,Credit,5350725222706426,04/2021,29,YES,2,$3400,09/2003,2008,No,Corporate World Elite
1157,386,0,Mastercard,Debit,5208287929207582,01/2022,668,YES,2,$20769,02/2020,2020,No,Executive Business
1158,386,1,Amex,Credit,382500319012149,12/2022,443,YES,2,$12100,02/2020,2020,No,Business
1159,386,2,Mastercard,Debit,5568206290590571,06/2023,658,YES,1,$16371,02/2020,2020,No,Government Commercial
1160,386,3,Mastercard,Credit,5316978994490034,10/2020,145,YES,1,$12500,02/2020,2020,No,Gold
1161,386,4,Mastercard,Debit,5548416164877894,02/2020,573,YES,1,$18976,02/2020,2020,No,Standard
1162,386,5,Mastercard,Debit,5319381223326693,02/2020,205,YES,2,$30119,01/2020,2020,No,Prepaid Reloadable
1163,387,0,Mastercard,Debit,5124149352966224,07/2022,255,YES,2,$26147,03/2016,2016,No,Gold
1164,388,0,Visa,Debit (Prepaid),4140588094739369,02/2020,914,YES,2,$74,02/2020,2020,No,Business
1165,389,0,Visa,Credit,4098957147259107,01/2024,427,YES,1,$7100,01/2020,2020,No,Traditional
1166,389,1,Visa,Debit,4728985692143254,05/2021,894,YES,2,$13964,02/2020,2020,No,UNKNOWN
1167,390,0,Visa,Credit,4914230230023485,11/2020,149,YES,2,$12000,02/2005,2013,No,Classic
1168,390,1,Mastercard,Debit,5503346026525353,07/2021,281,YES,2,$14710,12/2006,2016,No,Prepaid Business
1169,390,2,Mastercard,Credit,5625623929407723,02/2024,413,NO,2,$5600,05/2008,2011,No,UNKNOWN
1170,390,3,Amex,Credit,340690023329145,05/2007,921,YES,1,$13600,01/2007,2009,No,UNKNOWN
1171,390,4,Mastercard,Debit,5836255998556368,01/2023,124,YES,2,$14592,05/2002,2018,No,UNKNOWN
1172,391,0,Mastercard,Debit,5144019472845640,03/2024,991,YES,1,$16791,08/2013,2013,No,Enhanced
1173,391,1,Mastercard,Debit,5401708824823369,09/2024,387,YES,1,$15909,07/2008,2008,No,Platinum
1174,391,2,Mastercard,Debit,5090437031916520,06/2022,678,NO,2,$13466,02/2020,2020,No,Bndes
1175,392,0,Mastercard,Debit,5427512329623870,11/2020,476,YES,2,$5066,10/2008,2016,No,Platinum
1176,392,1,Visa,Debit,4270727314191306,09/2024,431,YES,2,$13452,09/2005,2012,No,Classic
1177,393,0,Visa,Debit,4609363841131495,01/2020,250,YES,1,$17652,01/2020,2020,No,UNKNOWN
1178,393,1,Visa,Debit,4092359255548687,07/2018,548,YES,1,$22566,05/2014,2014,No,Prepaid Classic
1179,393,2,Mastercard,Debit (Prepaid),5739755420014539,01/2023,543,YES,2,$101,02/2020,2020,No,UNKNOWN
1180,393,3,Mastercard,Debit,5884169220100958,02/2009,380,YES,1,$17860,08/2007,2010,No,UNKNOWN
1181,393,4,Visa,Debit,4739129887814779,12/2024,840,YES,1,$13635,02/2020,2020,No,Classic
1182,393,5,Amex,Credit,340363396133555,10/2024,357,YES,1,$12800,07/2005,2014,No,Personal
1183,393,6,Mastercard,Debit,5134663281531806,04/2022,682,YES,1,$12076,02/1999,2012,No,World
1184,394,0,Mastercard,Credit,5428449359468275,05/2024,692,YES,1,$13500,02/2020,2020,No,Gift
1185,394,1,Mastercard,Debit (Prepaid),5166680396292023,11/2024,462,YES,1,$38,01/2020,2020,No,Business
1186,394,2,Mastercard,Debit (Prepaid),5582430794372147,09/2024,397,YES,2,$100,01/2020,2020,No,Business
1187,395,0,Visa,Debit,4011659941572561,01/2023,523,YES,1,$24501,08/2019,2019,No,Classic
1188,395,1,Visa,Credit,4281818687372228,11/2020,956,YES,1,$15100,06/2005,2011,No,Gold
1189,395,2,Mastercard,Debit,5537300534138484,07/2023,933,YES,2,$14709,12/2004,2013,No,Standard
1190,395,3,Mastercard,Debit,5770348525427389,08/2020,914,NO,1,$45782,11/2010,2015,No,UNKNOWN
1191,396,0,Mastercard,Debit,5089550241614493,02/2020,625,YES,2,$18292,01/2020,2020,No,Classic
1192,396,1,Amex,Credit,357731604070533,05/2020,270,YES,1,$13400,10/1999,2012,No,UNKNOWN
1193,396,2,Visa,Credit,4760959420776144,05/2021,81,YES,2,$11100,06/2015,2015,No,Prepaid Platinum
1194,397,0,Visa,Debit,4559380028737071,01/2023,791,YES,1,$33397,02/2020,2020,No,Signature
1195,398,0,Mastercard,Debit (Prepaid),5978230791001469,08/2017,310,YES,1,$80,03/2002,2008,No,Standard
1196,398,1,Visa,Credit,4609960492769091,03/2023,512,YES,2,$5400,05/2007,2013,No,Classic
1197,398,2,Amex,Credit,371780853319378,06/2021,461,YES,2,$11000,04/2010,2010,No,Personal
1198,398,3,Visa,Debit,4717280495507382,03/2012,268,YES,1,$8374,06/2006,2010,No,Business
1199,399,0,Mastercard,Debit,5630819721997639,03/2021,160,YES,2,$23691,06/2009,2015,No,Standard
1200,399,1,Visa,Debit,4536093921633369,12/2023,783,YES,2,$15817,03/2010,2013,No,Classic
1201,399,2,Mastercard,Debit,5403878573257240,06/2024,553,YES,2,$36912,09/2009,2015,No,Standard
1202,400,0,Visa,Debit,4752300617048436,09/2021,511,YES,2,$36976,02/2020,2020,No,UNKNOWN
1203,401,0,Mastercard,Debit,5298405785595862,06/2022,451,YES,1,$52121,01/2020,2020,No,UNKNOWN
1204,402,0,Mastercard,Debit,5969880085380237,03/2024,832,YES,1,$12564,01/2018,2018,No,Standard
1205,402,1,Visa,Debit,4719376429761062,05/2021,716,YES,1,$15981,10/2008,2008,No,Classic
1206,403,0,Visa,Debit,4465904146461429,12/2007,172,YES,2,$12758,12/2007,2011,No,UNKNOWN
1207,403,1,Mastercard,Debit (Prepaid),5998020597750681,01/2020,259,YES,2,$24,01/2020,2020,No,Standard
1208,403,2,Mastercard,Debit,5753826788441344,10/2017,195,YES,2,$13209,03/2006,2012,No,UNKNOWN
1209,404,0,Mastercard,Debit,5845664736410406,09/2024,157,YES,1,$11254,01/2020,2020,No,Personal
1210,404,1,Mastercard,Debit,5815197990139669,05/2024,528,YES,2,$16703,06/2014,2014,No,UNKNOWN
1211,404,2,Discover,Credit,6863075164690679,11/2020,357,YES,2,$7300,05/2010,2010,No,UNKNOWN
1212,404,3,Mastercard,Credit,5190363040476849,08/2022,377,YES,2,$8600,02/2012,2012,No,Prepaid
1213,405,0,Visa,Debit,4435091514671785,10/2013,429,YES,1,$17173,02/1997,2014,No,UNKNOWN
1214,405,1,Visa,Credit,4610283928454577,03/2020,340,YES,2,$22000,08/2013,2013,No,Classic
1215,405,2,Mastercard,Debit,5402165032954536,11/2009,383,YES,1,$29739,11/2004,2008,No,Micro Business
1216,406,0,Mastercard,Debit,5604853881293164,02/2020,942,YES,2,$12905,05/2010,2010,No,UNKNOWN
1217,406,1,Mastercard,Debit,5304174233835471,10/2022,603,YES,2,$447,08/2006,2015,No,Prepaid
1218,406,2,Mastercard,Debit,5018201035940907,02/2014,623,YES,1,$22100,11/2006,2009,No,Personal
1219,406,3,Visa,Debit,4364504555846512,03/2024,787,YES,2,$7616,07/2010,2010,No,Classic
1220,407,0,Mastercard,Debit,5820532728475057,07/2021,136,YES,1,$17665,01/2020,2020,No,UNKNOWN
1221,407,1,Mastercard,Debit,5693890310196695,09/2024,794,YES,1,$12551,10/2019,2019,No,UNKNOWN
1222,407,2,Amex,Credit,329884815703027,05/2022,818,YES,2,$7400,02/2020,2020,No,UNKNOWN
1223,408,0,Mastercard,Debit,5495606147026040,06/2024,810,YES,2,$14223,02/2013,2013,No,Standard
1224,408,1,Discover,Credit,6439934247827371,03/2012,549,NO,1,$11200,03/2007,2007,No,UNKNOWN
1225,408,2,Mastercard,Credit,5903180777410762,02/2020,618,YES,1,$14000,03/2019,2019,No,Standard
1226,408,3,Visa,Debit (Prepaid),4982837709455785,09/2022,119,YES,2,$79,12/2009,2009,No,UNKNOWN
1227,409,0,Visa,Debit,4254478565698366,02/2020,642,YES,2,$13547,02/2020,2020,No,UNKNOWN
1228,410,0,Mastercard,Debit,5366108681709753,06/2022,691,YES,1,$12626,02/2020,2020,No,Platinum
1229,410,1,Mastercard,Debit,5559631785400356,07/2024,138,YES,2,$17042,07/2011,2011,No,Business
1230,410,2,Mastercard,Debit,5868987765320423,01/2024,849,YES,2,$11930,06/2011,2011,No,Personal
1231,411,0,Mastercard,Debit,5921343520642553,12/2013,630,YES,2,$10442,11/2005,2005,No,Standard
1232,411,1,Mastercard,Debit,5576058870888177,08/2023,200,YES,2,$23296,11/2009,2014,No,Prepaid Reloadable
1233,412,0,Visa,Debit,4436697575956445,06/2015,894,YES,1,$19555,10/2010,2010,No,Classic
1234,412,1,Mastercard,Debit,5217920627763477,02/2020,902,YES,1,$22310,01/2020,2020,No,UNKNOWN
1235,413,0,Mastercard,Credit,5503548049749435,02/2021,850,NO,1,$14800,11/2016,2016,No,Platinum
1236,413,1,Visa,Credit,4669390579436584,03/2020,661,YES,2,$11300,04/2002,2011,No,UNKNOWN
1237,413,2,Mastercard,Debit (Prepaid),5241112690809802,09/2022,740,YES,1,$31,04/2003,2010,No,Titanium
1238,413,3,Mastercard,Debit,5622935637285354,05/2024,799,YES,1,$24090,09/1998,2009,No,Personal
1239,414,0,Mastercard,Debit,5700169734076825,05/2011,638,YES,1,$18138,03/2006,2008,No,Standard
1240,414,1,Visa,Debit (Prepaid),4323953877431034,05/2023,830,YES,3,$74,06/2018,2018,No,Gold
1241,414,2,Mastercard,Debit,5107151477861238,06/2021,365,YES,1,$23016,01/2010,2010,No,Standard
1242,414,3,Visa,Debit,4753063175082230,02/2020,352,YES,2,$35791,11/2009,2009,No,UNKNOWN
1243,415,0,Mastercard,Debit,5604896104987546,07/2022,330,YES,1,$15116,02/2020,2020,No,UNKNOWN
1244,416,0,Visa,Credit,4096689962299789,08/2022,25,YES,1,$8000,12/2005,2011,No,Gold
1245,416,1,Amex,Credit,349159635383087,01/2023,386,YES,2,$2200,02/2019,2019,No,Standard
1246,416,2,Visa,Credit,4538277638033307,10/2024,387,YES,1,$6800,01/2020,2020,No,Business
1247,416,3,Mastercard,Debit,5738438340474113,03/2020,798,YES,1,$427,05/2008,2010,No,UNKNOWN
1248,417,0,Mastercard,Debit,5361639254366090,02/2002,26,YES,1,$22112,02/2002,2010,No,UNKNOWN
1249,417,1,Visa,Debit,4815373260593647,04/2018,733,YES,2,$10211,09/2013,2013,No,Infinite
1250,417,2,Mastercard,Debit,5363716613146250,12/2008,937,YES,1,$11940,10/2007,2011,No,Standard
1251,417,3,Visa,Credit,4234252140022115,09/2021,115,YES,1,$7400,04/1994,2010,No,UNKNOWN
1252,417,4,Visa,Debit (Prepaid),4541177168542351,02/2021,768,NO,1,$64,06/2005,2014,No,Classic
1253,417,5,Mastercard,Debit,5079032910713562,12/2022,402,YES,2,$7343,05/2004,2013,No,UNKNOWN
1254,417,6,Visa,Credit,4494411189246879,01/2023,670,YES,1,$5500,06/2003,2010,No,Classic
1255,418,0,Mastercard,Debit,5907512722234563,01/2014,855,YES,2,$3843,01/2008,2009,No,Standard
1256,419,0,Mastercard,Debit (Prepaid),5710956185196347,02/2020,91,YES,2,$72,01/2020,2020,No,UNKNOWN
1257,419,1,Mastercard,Debit,5969614895288925,02/2020,729,YES,1,$21227,02/2020,2020,No,Standard
1258,419,2,Mastercard,Debit,5183544081050284,05/2022,754,YES,1,$21943,02/2020,2020,No,Enhanced
1259,420,0,Mastercard,Debit,5274657041301974,04/2020,436,YES,2,$47833,10/2004,2010,No,Business
1260,420,1,Amex,Credit,337116884587546,09/2018,164,NO,2,$13400,04/2013,2013,No,UNKNOWN
1261,420,2,Amex,Credit,339154209082656,09/2010,909,YES,1,$21700,04/2010,2010,No,UNKNOWN
1262,421,0,Mastercard,Debit,5489847637452263,05/2022,32,YES,2,$19122,10/2013,2013,No,Standard
1263,421,1,Visa,Debit,4312743637718042,11/2019,556,YES,2,$17245,06/2019,2019,No,Business
1264,421,2,Mastercard,Debit,5312379293764300,06/2022,244,NO,2,$17564,12/2010,2010,No,Prepaid
1265,421,3,Visa,Credit,4678372291668326,07/2020,966,YES,1,$14100,09/2006,2011,No,Classic
1266,422,0,Amex,Credit,380507615759333,07/2021,194,YES,1,$11400,01/2020,2020,No,Standard
1267,422,1,Mastercard,Debit,5643186470669851,09/2022,12,YES,2,$18281,02/2020,2020,No,UNKNOWN
1268,423,0,Mastercard,Debit,5498308482575223,03/2021,952,YES,1,$14471,04/2014,2014,No,World
1269,423,1,Mastercard,Debit,5252283992419484,04/2024,136,YES,1,$11399,10/2008,2010,No,Standard
1270,423,2,Mastercard,Credit,5795691987889821,04/2011,416,YES,3,$12400,05/2008,2008,No,Personal
1271,424,0,Visa,Debit,4980412921853275,04/2021,28,YES,2,$27520,01/2012,2012,No,Gold
1272,424,1,Visa,Debit,4537266913886102,04/2022,787,YES,1,$38648,11/2003,2005,No,Infinite
1273,424,2,Mastercard,Debit,5817981997085182,08/2008,755,YES,2,$41051,02/2006,2006,No,Standard
1274,424,3,Amex,Credit,353090863754405,03/2014,451,YES,1,$19300,06/2009,2018,No,Standard
1275,424,4,Mastercard,Debit,5693655667464241,12/2023,500,YES,2,$9683,08/2007,2016,No,UNKNOWN
1276,425,0,Mastercard,Debit,5919043204819594,02/2020,711,NO,2,$15061,06/2007,2007,No,Standard
1277,425,1,Mastercard,Debit,5159330722218973,02/2022,857,YES,2,$16652,10/2008,2010,No,Standard
1278,425,2,Mastercard,Debit,5609056029992567,02/2020,7,YES,1,$10970,09/2013,2013,No,UNKNOWN
1279,425,3,Visa,Debit,4461414789391516,03/2021,277,YES,2,$15458,09/2019,2019,No,Prepaid Classic
1280,425,4,Mastercard,Debit,5955587375467605,07/2020,522,YES,2,$11475,05/2014,2014,No,Standard
1281,425,5,Mastercard,Debit,5224140626818585,01/2017,329,YES,1,$12031,07/2014,2014,No,Standard
1282,426,0,Mastercard,Debit (Prepaid),5691905533359944,10/2024,982,YES,1,$49,12/2002,2009,No,UNKNOWN
1283,427,0,Mastercard,Debit,5406659343798231,12/2022,868,YES,2,$14408,09/2008,2008,No,Standard
1284,427,1,Mastercard,Debit,5268706720915465,07/2020,202,YES,1,$18035,05/2010,2010,No,Gold
1285,427,2,Mastercard,Debit,5007147574833881,04/2022,560,YES,2,$16786,09/2008,2008,No,Personal
1286,427,3,Visa,Debit,4345682874994564,02/2020,331,YES,1,$12009,03/2006,2009,No,UNKNOWN
1287,428,0,Discover,Credit,6315959001873783,04/2021,118,YES,1,$6800,08/2014,2014,No,UNKNOWN
1288,428,1,Mastercard,Credit,5887964726362356,07/2021,671,YES,1,$10300,04/2006,2009,No,UNKNOWN
1289,428,2,Mastercard,Debit,5944670401278171,03/2021,806,YES,2,$16274,10/2009,2009,No,Standard
1290,429,0,Mastercard,Credit,5744439609691204,01/2020,662,YES,1,$28000,01/2020,2020,No,UNKNOWN
1291,429,1,Visa,Debit,4771002709933864,04/2024,374,YES,2,$4201,01/2020,2020,No,Gold
1292,430,0,Discover,Credit,6396980306370671,10/2015,37,YES,1,$25300,04/2007,2012,No,UNKNOWN
1293,430,1,Visa,Debit,4957823817777302,03/2022,413,YES,1,$40350,02/2008,2014,No,UNKNOWN
1294,430,2,Visa,Credit,4021539917884489,08/2018,497,YES,1,$22500,06/2008,2010,No,Classic
1295,430,3,Visa,Debit,4361392563969799,10/2023,417,YES,1,$26110,12/2012,2012,No,Business
1296,431,0,Mastercard,Debit (Prepaid),5387845577295005,02/2020,379,YES,1,$46,01/2020,2020,No,Prepaid Reloadable
1297,431,1,Mastercard,Debit,5690579854372424,09/2020,790,YES,1,$24886,02/2020,2020,No,UNKNOWN
1298,431,2,Visa,Debit,4102843004395648,07/2022,452,YES,2,$12257,02/2020,2020,No,Gold
1299,431,3,Mastercard,Debit,5778432883626952,01/2020,217,NO,2,$27489,01/2020,2020,No,Personal
1300,432,0,Visa,Credit,4335011442006835,07/2022,412,YES,1,$9700,11/2010,2012,No,Business
1301,432,1,Mastercard,Debit,5131116413550841,03/2024,615,YES,1,$11712,06/2008,2019,No,Gold
1302,432,2,Amex,Credit,394151199374199,02/2020,175,YES,2,$5900,07/2014,2014,No,Business
1303,432,3,Visa,Debit,4684821008065663,04/2021,164,YES,1,$10318,06/2016,2016,No,Gold
1304,433,0,Mastercard,Debit,5883802092372517,12/2014,346,YES,1,$3836,07/2006,2009,No,Personal
1305,433,1,Visa,Credit,4495172888223801,12/2023,269,YES,2,$13200,06/2010,2011,No,Classic
1306,433,2,Mastercard,Debit (Prepaid),5037187439217055,08/2021,955,NO,2,$56,11/2009,2011,No,Personal
1307,434,0,Amex,Credit,325863166103877,01/2020,936,YES,2,$13800,01/2020,2020,No,UNKNOWN
1308,435,0,Mastercard,Debit,5219464488355605,09/2022,80,YES,2,$7767,01/2020,2020,No,Prepaid Platinum Travel
1309,436,0,Visa,Debit,4702266560105457,09/2022,749,YES,1,$14999,05/2010,2010,No,UNKNOWN
1310,436,1,Mastercard,Debit,5215769270589143,01/2024,897,YES,2,$9281,07/2013,2013,No,Prepaid
1311,436,2,Visa,Debit,4514228052643760,03/2024,763,NO,1,$15512,11/2013,2013,No,Platinum
1312,437,0,Visa,Debit (Prepaid),4316296167662583,04/2023,621,YES,2,$67,02/2020,2020,No,Classic
1313,437,1,Visa,Debit,4878301968196169,09/2022,33,YES,1,$10564,11/2009,2010,No,UNKNOWN
1314,438,0,Mastercard,Debit,5687094950907399,08/2019,289,YES,1,$13206,03/2018,2018,No,UNKNOWN
1315,438,1,Visa,Debit,4877797934126603,08/2024,237,YES,1,$11809,11/2004,2010,No,UNKNOWN
1316,438,2,Discover,Credit,6773009361532105,06/2024,38,YES,1,$8800,03/2006,2008,No,Personal
1317,439,0,Visa,Debit,4194422558945686,05/2018,208,NO,1,$29793,10/2017,2017,No,Classic
1318,439,1,Mastercard,Debit (Prepaid),5433671830348176,03/2022,732,YES,1,$80,11/2008,2008,No,Gold
1319,439,2,Mastercard,Debit,5164347231652886,04/2024,14,YES,2,$24739,04/2008,2011,No,Corporate
1320,439,3,Mastercard,Debit,5774618783513739,01/2020,902,YES,2,$32447,09/2009,2009,No,UNKNOWN
1321,439,4,Amex,Credit,335499499050062,11/2020,520,NO,2,$20900,01/2007,2007,No,UNKNOWN
1322,440,0,Visa,Debit,4208678188310578,05/2024,462,YES,1,$23912,11/2003,2009,No,Business
1323,440,1,Amex,Credit,344420840489865,11/2024,330,YES,2,$8200,04/1998,2010,No,UNKNOWN
1324,440,2,Visa,Debit,4904264423390551,02/2008,240,YES,2,$119,07/2004,2012,No,Classic
1325,440,3,Mastercard,Debit,5291048760665798,04/2017,940,YES,1,$19137,11/2009,2012,No,Standard
1326,441,0,Mastercard,Debit,5594052672345392,10/2021,748,YES,1,$13609,11/2008,2010,No,Platinum
1327,441,1,Visa,Credit,4009130422427807,02/2021,247,YES,2,$8600,05/2004,2012,No,Classic
1328,442,0,Amex,Credit,303823669078373,02/2020,876,YES,2,$27000,02/2020,2020,No,Business
1329,442,1,Discover,Credit,6262934801438359,06/2021,565,YES,2,$17500,01/2020,2020,No,UNKNOWN
1330,442,2,Visa,Credit,4619139517493572,02/2020,681,YES,1,$21000,01/2020,2020,No,Classic
1331,443,0,Mastercard,Debit,5250142801861718,02/2023,485,YES,2,$9401,04/2010,2011,No,Gold
1332,443,1,Visa,Debit,4411314646067924,06/2023,47,YES,2,$17146,11/2009,2009,No,Business
1333,443,2,Mastercard,Debit,5384107443816532,06/2021,90,YES,2,$10863,05/2009,2011,No,Prepaid
1334,443,3,Mastercard,Debit,5291753153918147,07/2018,855,YES,1,$9742,04/2010,2010,No,Business
1335,444,0,Mastercard,Credit,5089899761133479,02/2021,743,YES,2,$4600,02/2020,2020,No,Classic
1336,444,1,Visa,Debit,4756400836306008,07/2022,401,YES,1,$29925,01/2020,2020,No,Classic
1337,445,0,Mastercard,Debit,5551460726922763,07/2021,115,YES,2,$10305,11/2002,2010,No,Corporate
1338,446,0,Mastercard,Credit,5419443574655374,10/2023,520,YES,2,$13300,09/2008,2008,No,Standard
1339,446,1,Mastercard,Debit (Prepaid),5391276903408071,10/2012,935,YES,2,$48,05/2006,2014,No,Standard
1340,446,2,Mastercard,Credit,5810850276328483,01/2020,877,NO,2,$0,01/2006,2012,No,UNKNOWN
1341,446,3,Visa,Credit,4328702811759379,02/2022,564,NO,1,$10600,09/2002,2013,No,UNKNOWN
1342,446,4,Mastercard,Debit,5054918583369098,03/2021,18,YES,2,$1778,05/2008,2011,No,Standard
1343,447,0,Visa,Debit,4907163278067635,09/2021,857,YES,1,$47523,01/2020,2020,No,Classic
1344,447,1,Mastercard,Debit (Prepaid),5147465861467114,04/2024,905,YES,1,$82,01/2020,2020,No,Enhanced
1345,448,0,Amex,Credit,304617902043505,03/2017,382,YES,1,$19400,05/2012,2012,No,Business
1346,448,1,Mastercard,Debit,5496405569223399,11/2014,30,YES,1,$23403,01/2013,2013,No,B2B
1347,448,2,Mastercard,Credit,5019514365242810,05/2024,508,YES,1,$13900,01/2005,2012,No,UNKNOWN
1348,449,0,Mastercard,Debit (Prepaid),5251447871603744,03/2008,292,YES,1,$95,10/2002,2011,No,Mixed Product
1349,449,1,Mastercard,Debit,5210434230147620,06/2022,262,YES,2,$20417,06/2016,2016,No,Standard
1350,449,2,Visa,Credit,4372177587368958,05/2022,450,YES,1,$6300,01/2006,2011,No,UNKNOWN
1351,450,0,Mastercard,Debit,5198052110187452,01/2020,912,YES,1,$16064,12/2016,2016,No,Business
1352,450,1,Mastercard,Debit (Prepaid),5390138872145738,03/2020,267,YES,1,$98,02/2020,2020,No,World
1353,450,2,Visa,Debit,4078898258495002,07/2015,929,YES,2,$16386,03/2015,2015,No,Traditional
1354,450,3,Visa,Credit,4301058381185328,03/2023,147,YES,1,$10100,02/2020,2020,No,UNKNOWN
1355,450,4,Visa,Debit,4256933161358353,10/2020,83,YES,2,$3472,01/2020,2020,No,Classic
1356,451,0,Amex,Credit,336470004427582,04/2022,487,YES,1,$7700,01/2020,2020,No,UNKNOWN
1357,451,1,Mastercard,Debit,5898279833645788,10/2023,139,YES,3,$11018,01/2020,2020,No,Personal
1358,451,2,Visa,Credit,4066440794075203,04/2024,921,YES,2,$8200,06/2018,2018,No,Traditional
1359,452,0,Mastercard,Debit,5201386771432172,09/2018,392,YES,1,$4976,07/2008,2008,No,Standard
1360,452,1,Amex,Credit,320871039524025,07/2018,845,YES,1,$4100,11/2004,2009,No,UNKNOWN
1361,453,0,Visa,Debit,4003314505746426,07/2021,531,YES,2,$6076,09/2004,2011,No,Prepaid Electron
1362,454,0,Mastercard,Credit,5218007897890577,12/2021,185,YES,3,$8000,02/2020,2020,No,Gold
1363,454,1,Discover,Credit,6997197066610978,08/2023,619,YES,2,$14600,02/2020,2020,No,UNKNOWN
1364,454,2,Mastercard,Credit,5105294422027242,03/2024,831,YES,1,$8300,10/2008,2010,No,Business
1365,454,3,Visa,Debit,4063054242876751,08/2024,647,YES,2,$19054,05/2009,2017,No,Classic
1366,455,0,Mastercard,Debit,5078853441156478,03/2020,930,YES,1,$29265,02/2020,2020,No,UNKNOWN
